Document_ID,Title,Filename,Path,Category,Subcategory,Type,Phase,Status,Description,Keywords,Authors,Date_Created,Last_Modified,Size,Page_Count,Language,Technical_Level,Prerequisites,Reading_Time,Cross_References,Citation_Count,Impact_Level
HQT_02,HQT_02 - Time Recursive Depth Original,HQT_Time_Recursive_Depth_Original.pdf,01_Core_Papers/HQT_Time_Recursive_Depth_Original.pdf,HQT,Recursive Depth,PDF,Application,Complete,Time recursive depth analysis and applications,"time, recursive, depth, analysis, quantum, consciousness",Research Team,2024-Q2,2024-Q3,1.2MB,48,English,Expert,"HQT_01, CFH_02, mathematical recursion",95 minutes,"QCA_v2, CFH_05",4,specialized
OBS_01,OBS_01 - Observer Architect Theory,OBS_Observer_Architect_Theory.pdf,01_Core_Papers/OBS_Observer_Architect_Theory.pdf,OBS,Observer Theory,PDF,Expansion,Complete,Observer as architect theory and framework,"observer, architect, theory, consciousness, reality construction",Research Team,2024-Q2,2024-Q3,1.0MB,40,English,Advanced,"CFH_01-04, observer theory, consciousness studies",80 minutes,"QCA_Complete, CFH_06",4,theoretical
QCA_Main_v1,QCA Main Document v1,QCA_Main_Document_v1.pdf,02_QCAP_Project/QCA_Main_Document_v1.pdf,QCA,Framework v1,PDF,Application,Complete,Original QCA framework,"quantum, consciousness, amplification, framework",Research Team,2024-Q1,2024-Q2,1.5MB,58,English,Advanced,"CFH_01, CFH_03",110 minutes,"QCA_v2, QCA_v3",8,foundational
QCA_v2,QCA Document v2,QCA_Document_v2.pdf,02_QCAP_Project/QCA_Document_v2.pdf,QCA,Framework v2,PDF,Application,Complete,Enhanced QCA framework,"quantum, consciousness, amplification, enhanced",Research Team,2024-Q2,2024-Q3,1.7MB,72,English,Advanced,"CFH_05, HQT_02",125 minutes,"QCA_v3, QCA_Complete",6,developmental
QCA_v3,QCA Document v3,QCA_Document_v3.pdf,02_QCAP_Project/QCA_Document_v3.pdf,QCA,Framework v3,PDF,Application,Complete,Latest comprehensive QCA version,"quantum, consciousness, amplification, comprehensive",Research Team,2024-Q3,2024-Q3,2.1MB,89,English,Expert,"All CFH series",145 minutes,QCA_Complete,4,advanced
QCA_Complete,QCA Complete Theory,QCA_Complete_Theory.pdf,02_QCAP_Project/QCA_Complete_Theory.pdf,QCA,Complete Framework,PDF,Implementation,Complete,Complete theoretical framework,"quantum, consciousness, amplification, complete, theory",Research Team,2024-Q3,2024-Q3,2.8MB,112,English,Expert,"CFH_05, HQT_01-02, OBS_01",180 minutes,All_subsequent_research,15,comprehensive
QCA_Scalar,QCA Scalar Field Model Neural,QCA_Scalar_Field_Model_Neural.pdf,02_QCAP_Project/QCA_Scalar_Field_Model_Neural.pdf,QCA,Scalar Modeling,PDF,Implementation,Complete,Neural scalar field modeling,"scalar, field, model, neural, consciousness",Research Team,2024-Q3,2024-Q3,1.3MB,52,English,Expert,"CFH_07, External_Scalar",95 minutes,Neural_consciousness_models,3,specialized
QCA_Podcast_Clean,QCA Podcast Transcript Clean,QCA_Podcast_Transcript_Clean.md,02_QCAP_Project/QCA_Podcast_Transcript_Clean.md,QCA,Transcript,Markdown,Validation,Complete,Clean transcript of QCA discussion,"podcast, transcript, discussion, QCA",Research Team,2024-Q3,2024-Q3,89KB,35,English,Intermediate,QCA_framework_knowledge,45 minutes,QCA_Podcast_Annotated,1,supplementary
QCA_Podcast_Annotated,QCA Podcast Transcript Annotated,QCA_Podcast_Transcript_Annotated.md,02_QCAP_Project/QCA_Podcast_Transcript_Annotated.md,QCA,Annotated Transcript,Markdown,Validation,Complete,Annotated transcript with analysis,"podcast, transcript, annotated, analysis",Research Team,2024-Q3,2024-Q3,112KB,42,English,Advanced,"QCA_Complete",60 minutes,QCA_Complete,2,analytical
QCA_Archive_Notes,QCA Integrated Archive Notes,QCA_Integrated_Archive_Notes.md,02_QCAP_Project/QCA_Integrated_Archive_Notes.md,QCA,Archive Documentation,Markdown,Validation,Complete,Integrated archive documentation,"archive, notes, integrated, documentation",Research Team,2024-Q3,2024-Q3,67KB,28,English,Intermediate,"All projects overview",35 minutes,All_projects,1,administrative
NEX_Main_v1,NEX Main Document v1,NEX_Main_Document_v1.pdf,03_NEXUS_Project/NEX_Main_Document_v1.pdf,NEX,Framework v1,PDF,Implementation,Complete,Original NEXUS framework,"nexus, framework, original",Research Team,2024-Q2,2024-Q3,1.6MB,64,English,Advanced,"CFH_03, CFH_09",115 minutes,NEX_v2,5,foundational
NEX_v2,NEX Document v2.0,NEX_Document_v2_0.pdf,03_NEXUS_Project/NEX_Document_v2_0.pdf,NEX,Framework v2,PDF,Implementation,Complete,Current primary NEXUS version,"nexus, framework, current, primary",Research Team,2024-Q3,2024-Q3,2.3MB,98,English,Expert,"CFH_05, QCA_03",165 minutes,"NEX_Working_Draft, All_NEX_docs",8,primary
NEX_Working_Draft,NEX Working Draft Current,NEX_Working_Draft_current.pdf,03_NEXUS_Project/NEX_Working_Draft_current.pdf,NEX,Working Draft,PDF,Implementation,In Progress,Latest working draft,"nexus, working, draft, latest",Research Team,2024-Q3,2024-Q3,1.8MB,76,English,Advanced,NEX_v2,135 minutes,NEX_v2,2,developmental
NEX_Briefing_Main,NEX Briefing Document Main,NEX_Briefing_Document_main.txt,03_NEXUS_Project/NEX_Briefing_Document_main.txt,NEX,Briefing,Text,Implementation,Complete,Main briefing document,"briefing, document, main, nexus",Research Team,2024-Q3,2024-Q3,45KB,18,English,Intermediate,NEX_v2,25 minutes,NEX_v2,1,administrative
NEX_FAQ,NEX FAQ Questions Answers,NEX_FAQ_Questions_Answers.txt,03_NEXUS_Project/NEX_FAQ_Questions_Answers.txt,NEX,FAQ,Text,Implementation,Complete,Frequently asked questions,"faq, questions, answers, nexus",Research Team,2024-Q3,2024-Q3,32KB,12,English,Beginner,"All NEX docs",20 minutes,All_NEX_docs,1,reference
NEX_Timeline,NEX Project Timeline,NEX_Project_Timeline.txt,03_NEXUS_Project/NEX_Project_Timeline.txt,NEX,Timeline,Text,Implementation,Complete,Project development timeline,"timeline, project, development, nexus",Research Team,2024-Q3,2024-Q3,18KB,7,English,Beginner,None,15 minutes,None,0,administrative
NEX_Study_Notes,NEX Study Group Notes,NEX_Study_Group_Notes.txt,03_NEXUS_Project/NEX_Study_Group_Notes.txt,NEX,Study Notes,Text,Implementation,Complete,Study group discussion notes,"study, group, notes, discussion",Research Team,2024-Q3,2024-Q3,28KB,11,English,Intermediate,NEX_v2,20 minutes,NEX_v2,1,supplementary
ECU_Main,ECU Main Theory Document,ECU_Main_Theory_Document.txt,04_ECUR_Project/ECU_Main_Theory_Document.txt,ECU,Main Theory,Text,Implementation,Complete,Main theoretical framework,"ecur, theory, framework, main",Research Team,2024-Q3,2024-Q3,78KB,31,English,Advanced,"CFH series, QCA_Complete",50 minutes,"ECU_Journey, ECU_Implementation",3,foundational
ECU_Journey,ECU Journey Vision Development,ECU_Journey_Vision_Development.txt,04_ECUR_Project/ECU_Journey_Vision_Development.txt,ECU,Vision Development,Text,Implementation,Complete,Vision and development journey,"journey, vision, development, ecur",Research Team,2024-Q3,2024-Q3,54KB,22,English,Intermediate,ECU_Main,35 minutes,ECU_Main,2,developmental
ECU_Implementation,ECU Model Implementation Notes,ECU_Model_Implementation_Notes.txt,04_ECUR_Project/ECU_Model_Implementation_Notes.txt,ECU,Implementation,Text,Implementation,Complete,Implementation methodology,"implementation, methodology, model, notes",Research Team,2024-Q3,2024-Q3,41KB,16,English,Advanced,"ECU_Main, Code_Simulations",30 minutes,"ECU_Main, Code_Simulations",2,practical
ECU_AI_Transcends,ECU Transcends Traditional AI,ECU_Transcends_Traditional_AI.txt,04_ECUR_Project/ECU_Transcends_Traditional_AI.txt,ECU,AI Transcendence,Text,Implementation,Complete,AI transcendence framework,"ai, transcends, traditional, framework",Research Team,2024-Q3,2024-Q3,36KB,14,English,Advanced,All_AI_Conversations,25 minutes,All_AI_Conversations,2,theoretical
AI_ChatGPT_Main,AI ChatGPT Conversations Main,AI_ChatGPT_Conversations_Main.pdf,05_Transcripts_and_Conversations/AI_ChatGPT_Conversations_Main.pdf,AI,ChatGPT Conversations,PDF,Validation,Complete,Main ChatGPT conversations,"chatgpt, conversations, ai, main",Research Team,2024-Q1,2024-Q3,2.1MB,84,English,Intermediate,CFH_development,120 minutes,CFH_development_history,4,historical
AI_ChatGPT_History,AI ChatGPT History Archive,AI_ChatGPT_History_Archive.pdf,05_Transcripts_and_Conversations/AI_ChatGPT_History_Archive.pdf,AI,ChatGPT History,PDF,Validation,Complete,ChatGPT history archive,"chatgpt, history, archive, ai",Research Team,2024-Q1,2024-Q3,1.8MB,72,English,Intermediate,None,100 minutes,Historical_archive,2,archival
AI_ChatGPT_Intro,AI ChatGPT Introduction Session,AI_ChatGPT_Introduction_Session.pdf,05_Transcripts_and_Conversations/AI_ChatGPT_Introduction_Session.pdf,AI,ChatGPT Introduction,PDF,Validation,Complete,Initial framework development,"chatgpt, introduction, session, framework",Research Team,2024-Q1,2024-Q1,956KB,38,English,Beginner,None,55 minutes,Initial_framework,3,foundational
AI_Claude_Opus,AI Claude Opus Conversations,AI_Claude_Opus_Conversations.pdf,05_Transcripts_and_Conversations/AI_Claude_Opus_Conversations.pdf,AI,Claude Conversations,PDF,Validation,Complete,QCA refinement with Claude,"claude, opus, conversations, qca, refinement",Research Team,2024-Q2,2024-Q3,1.4MB,56,English,Advanced,QCA_refinement,80 minutes,QCA_refinement,4,developmental
AI_Gemini_Failure,AI Gemini Failure Analysis,AI_Gemini_Failure_Analysis.pdf,05_Transcripts_and_Conversations/AI_Gemini_Failure_Analysis.pdf,AI,Gemini Analysis,PDF,Validation,Complete,Methodology critique,"gemini, failure, analysis, methodology",Research Team,2024-Q2,2024-Q3,723KB,29,English,Advanced,Methodology_critique,40 minutes,Methodology_critique,2,analytical
AI_Gemini_Examples,AI Gemini Output Examples,AI_Gemini_Output_Examples.pdf,05_Transcripts_and_Conversations/AI_Gemini_Output_Examples.pdf,AI,Gemini Examples,PDF,Validation,Complete,Gemini output samples,"gemini, output, examples, samples",Research Team,2024-Q2,2024-Q3,892KB,36,English,Intermediate,Output_samples,50 minutes,Output_samples,1,supplementary
AI_Gemini_Summary,AI Gemini Summary Analysis,AI_Gemini_Summary_Analysis.pdf,05_Transcripts_and_Conversations/AI_Gemini_Summary_Analysis.pdf,AI,Gemini Summary,PDF,Validation,Complete,Summary evaluation,"gemini, summary, analysis, evaluation",Research Team,2024-Q2,2024-Q3,645KB,26,English,Intermediate,Summary_evaluation,35 minutes,Summary_evaluation,1,analytical
Podcast_Asher_Justin,Podcast Asher Justin Transcript,Podcast_Asher_Justin_Transcript.txt,05_Transcripts_and_Conversations/Podcast_Asher_Justin_Transcript.txt,AI,Podcast Transcript,Text,Validation,Complete,Core collaboration transcript,"podcast, asher, justin, collaboration",Research Team,2024-Q1,2024-Q3,126KB,50,English,Advanced,Core_collaboration,75 minutes,Core_collaboration,5,foundational
National_Security,National Security Discussion Transcript,Transcript_National_Security_Discussion.txt,05_Transcripts_and_Conversations/Transcript_National_Security_Discussion.txt,AI,Security Discussion,Text,Validation,Complete,Security implications discussion,"national, security, discussion, implications",Research Team,2024-Q2,2024-Q3,67KB,27,English,Advanced,Security_implications,40 minutes,Security_implications,2,specialized
QCAP_Main_Sim,QCAP Main Simulation,QCAP_main_simulation.py,06_Code_and_Simulations/QCAP_main_simulation.py,Code,Primary Simulation,Python,Implementation,Complete,Primary QCA simulation,"qcap, simulation, python, primary",Research Team,2024-Q2,2024-Q3,15KB,560,Python,Expert,"NumPy, SciPy",N/A,QCAP_Secondary_Sim,2,implementation
QCAP_Secondary_Sim,QCAP Secondary Simulation,QCAP_secondary_simulation.py,06_Code_and_Simulations/QCAP_secondary_simulation.py,Code,Secondary Simulation,Python,Implementation,Complete,Secondary QCA models,"qcap, secondary, simulation, models",Research Team,2024-Q2,2024-Q3,12KB,430,Python,Expert,Main_simulation,N/A,Main_simulation,1,implementation
Gemini_Training_Data,Gemini Fine Tuning Data,Gemini_fine_tuning_data.csv,06_Code_and_Simulations/Gemini_fine_tuning_data.csv,Code,Training Data,CSV,Validation,Complete,AI training data,"gemini, training, data, csv",Research Team,2024-Q2,2024-Q3,234KB,8750,CSV,Intermediate,Gemini_experiments,N/A,Gemini_experiments,1,data
Code_Snippets,Misc Code Snippets,misc_code_snippets.txt,06_Code_and_Simulations/misc_code_snippets.txt,Code,Code Snippets,Text,Implementation,Complete,Code fragments and utilities,"code, snippets, fragments, utilities",Research Team,2024-Q1,2024-Q3,28KB,420,Mixed,Intermediate,Various,N/A,Various,0,utility
Crane_Molloy_Analysis,Crane Molloy 2024 Epistemological Analysis,Crane_Molloy_2024_Epistemological_Analysis.pdf,08_External_References/Crane_Molloy_2024_Epistemological_Analysis.pdf,External,Epistemological Analysis,PDF,Validation,Complete,Epistemological Analysis by Crane & Molloy (2024),"crane, molloy, epistemological, analysis, 2024",Crane & Molloy,2024,2024,1.1MB,44,English,Expert,Epistemological_foundations,80 minutes,Epistemological_foundations,3,academic
Boeing_Analysis,Reference Boeing Analysis,Reference_Boeing_Analysis.pdf,08_External_References/Reference_Boeing_Analysis.pdf,External,Technical Analysis,PDF,Foundation,Complete,Boeing technical analysis,"boeing, analysis, technical, reference",Boeing Research,2024,2024,890KB,35,English,Expert,Technical_analysis,65 minutes,Technical_analysis,2,technical
Tiwanaku_Visions,Reference Visions of Tiwanaku,Reference_Visions_of_Tiwanaku.pdf,08_External_References/Reference_Visions_of_Tiwanaku.pdf,External,Historical Reference,PDF,Foundation,Complete,Archaeological and historical perspectives,"tiwanaku, visions, archaeological, historical",Archaeological Team,2024,2024,1.3MB,52,English,Intermediate,Historical_perspectives,90 minutes,Historical_perspectives,1,historical
Scalar_Field_Consciousness,Scalar Field Model of Consciousness,Scalar_Field_Model_of_Consciousness.pdf,08_External_References/Scalar_Field_Model_of_Consciousness.pdf,External,Academic Model,PDF,Foundation,Complete,Academic consciousness modeling,"scalar, field, consciousness, modeling, academic",Academic Authors,2024,2024,1.5MB,60,English,Expert,Consciousness_modeling,110 minutes,Consciousness_modeling,4,academic
